startstart,4,0,1616475430.001973
start,10,0,1616475430.002098
start,5,0,1616475430.013759
start,2,0,1616475430.019493
start,7,0,1616475430.021029
start,16,0,1616475430.021321
start,15,0,1616475430.021440
start,9,0,1616475430.021487
start,8,0,1616475430.021573
start,12,0,1616475430.022863
start,13,0,1616475430.022968
start,1,0,1616475430.023122
start,6,0,1616475430.023178
start,0,0,1616475430.023243
start,11,0,1616475430.023362
start,17,0,1616475430.023420
start,14,0,1616475430.023465
start,18,0,1616475430.023784
start,19,0,1616475430.023991
start,3,0,1616475430.024944
end,10,0,1616475430.057461
end,4,0,1616475430.057596
start,10,1,1616475430.058201
start,4,1,1616475430.058302
end,5,0,1616475430.058699
end,2,0,1616475430.058736
end,16,0,1616475430.058803
end,15,0,1616475430.058867
end,7,0,1616475430.058772
end,8,0,1616475430.058895
end,10,1,1616475430.058929
end,9,0,1616475430.059005
end,13,0,1616475430.059093
end,4,1,1616475430.059143
end,6,0,1616475430.059294
end,12,0,1616475430.059304
end,1,0,1616475430.059342
end,0,0,1616475430.059381
end,11,0,1616475430.059416
end,17,0,1616475430.059479
end,14,0,1616475430.059502
start,5,1,1616475430.059566
start,2,1,1616475430.059613
start,16,1,1616475430.059640
start,15,1,1616475430.059682
start,7,1,1616475430.059714
start,8,1,1616475430.059759
end,18,0,1616475430.059811
start,10,2,1616475430.059842
start,9,1,1616475430.059869
start,13,1,1616475430.059911
start,4,2,1616475430.059937
end,19,0,1616475430.060020
start,6,1,1616475430.060065
start,12,1,1616475430.060100
start,1,1,1616475430.060134
start,0,1,1616475430.060168
start,11,1,1616475430.060200
start,17,1,1616475430.060237
start,14,1,1616475430.060263
end,3,0,1616475430.060306
end,5,1,1616475430.060361
end,2,1,1616475430.060402
end,16,1,1616475430.060428
end,15,1,1616475430.060471
end,7,1,1616475430.060508
end,8,1,1616475430.060547
start,18,1,1616475430.060584
end,9,1,1616475430.060657
end,13,1,1616475430.060690
start,19,1,1616475430.060778
end,6,1,1616475430.060820
end,12,1,1616475430.060855
end,1,1,1616475430.060892
end,0,1,1616475430.060940
end,11,1,1616475430.060981
end,17,1,1616475430.061014
end,14,1,1616475430.061051
start,3,1,1616475430.061082
start,5,2,1616475430.061118
start,2,2,1616475430.061153
start,16,2,1616475430.061177
start,15,2,1616475430.061216
start,7,2,1616475430.061259
start,8,2,1616475430.061298
end,18,1,1616475430.061334
start,9,2,1616475430.061394
start,13,2,1616475430.061435
end,19,1,1616475430.061493
start,6,2,1616475430.061533
start,12,2,1616475430.061574
